question_id,question,num_tables,tables,attributes
21,"How many different capital cities are linked to the countries of {transfers.player_name}'s destination clubs?",3,"transfers; clubs; countries","transfers.player_name; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.capital_city"
22,"Which capital city appeared most often among the countries of {transfers.player_name}'s destination clubs? If tied, list all tied capital cities.",3,"transfers; clubs; countries","transfers.player_name; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.capital_city"
23,"How many of {transfers.player_name}'s recorded transfers had destination clubs located in countries whose capital is {countries.capital_city}?",3,"transfers; clubs; countries","transfers.player_name; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.capital_city"
24,"Were all of {transfers.player_name}'s destination clubs located in countries on the same continent?",3,"transfers; clubs; countries","transfers.player_name; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
25,"In game {game_events.game_id}, how many {game_events.type} events involved clubs from Europe?",3,"game_events; clubs; countries","game_events.game_id; game_events.type; game_events.club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
26,"In game {game_events.game_id}, how many events involved players whose citizenship country is in Europe?",3,"game_events; players; countries","game_events.game_id; game_events.player_id; players.player_id; players.country_of_citizenship; countries.country_name; countries.continent"
27,"In game {game_events.game_id}, how many events involved players born in countries whose capital is {countries.capital_city}?",3,"game_events; players; countries","game_events.game_id; game_events.player_id; players.player_id; players.country_of_birth; countries.country_name; countries.capital_city"
28,"In game {game_events.game_id}, how many events had an assisting player whose citizenship country is in Europe?",3,"game_events; players; countries","game_events.game_id; game_events.player_assist_id; players.player_id; players.country_of_citizenship; countries.country_name; countries.continent"
29,"In game {game_events.game_id}, how many recorded events were assigned to clubs from {countries.country_name}?",3,"game_events; clubs; countries","game_events.game_id; game_events.club_id; clubs.club_id; clubs.country_name; countries.country_name"
30,"In game {game_events.game_id}, how many recorded {game_events.type} events were assigned to clubs from {countries.country_name}?",3,"game_events; clubs; countries","game_events.game_id; game_events.type; game_events.club_id; clubs.club_id; clubs.country_name; countries.country_name"
31,"In game {game_events.game_id}, which club country had the most number of recorded events? If tied, list all tied countries.",2,"game_events; clubs","game_events.game_id; game_events.club_id; clubs.club_id; clubs.country_name"
32,"In game {game_events.game_id}, how many recorded events were assigned to clubs from Europe?",3,"game_events; clubs; countries","game_events.game_id; game_events.club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
33,"In game {game_events.game_id}, how many recorded {game_events.type} events were assigned to clubs from Europe?",3,"game_events; clubs; countries","game_events.game_id; game_events.type; game_events.club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
34,"On {target_date}, what country was {transfers.player_name}'s club in?",2,"transfers; clubs","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name"
35,"On {target_date}, what stadium was listed for {transfers.player_name}'s club?",2,"transfers; clubs","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.stadium_name"
36,"On {target_date}, how many seats were listed for {transfers.player_name}'s club stadium?",2,"transfers; clubs","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.stadium_seats"
37,"On {target_date}, was {transfers.player_name}'s club in {countries.country_name}?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name"
38,"On {target_date}, did {transfers.player_name}'s club stadium have more than {clubs.stadium_seats} seats?",2,"transfers; clubs","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.stadium_seats"
39,"On {target_date}, did {transfers.player_name}'s club stadium have fewer than {clubs.stadium_seats} seats?",2,"transfers; clubs","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.stadium_seats"
40,"On {target_date}, did {transfers.player_name}'s club stadium have exactly {clubs.stadium_seats} seats?",2,"transfers; clubs","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.stadium_seats"
41,"On {target_date}, was {clubs.stadium_name} the listed stadium for {transfers.player_name}'s club?",2,"transfers; clubs","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.stadium_name"
42,"On {target_date}, what continent was {transfers.player_name}'s club in?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
43,"On {target_date}, what capital city was listed for {transfers.player_name}'s club country?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.capital_city"
44,"On {target_date}, what confederation was listed for {transfers.player_name}'s club country?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.confederation"
45,"On {target_date}, was {transfers.player_name}'s club in Europe?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
46,"On {target_date}, was {transfers.player_name}'s club country listed with confederation {countries.confederation}?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.confederation"
47,"On {target_date}, was {countries.capital_city} the capital of {transfers.player_name}'s club country?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.capital_city"
48,"On {target_date}, was {transfers.player_name}'s club located in a country whose capital is {countries.capital_city}?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.capital_city"
49,"On {target_date}, what type of domestic competitions was {transfers.player_name}'s club in?",3,"transfers; clubs; competitions","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.domestic_competitions_id; competitions.competitions_id; competitions.type"
50,"On {target_date}, what subtype of domestic competitions was {transfers.player_name}'s club in?",3,"transfers; clubs; competitions","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.domestic_competitions_id; competitions.competitions_id; competitions.sub_type"
51,"On {target_date}, what country was linked to the domestic competitions of {transfers.player_name}'s club?",3,"transfers; clubs; competitions","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.domestic_competitions_id; competitions.competitions_id; competitions.country_name"
52,"On {target_date}, what confederation was listed for the domestic competitions of {transfers.player_name}'s club?",3,"transfers; clubs; competitions","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.domestic_competitions_id; competitions.competitions_id; competitions.confederation"
53,"On {target_date}, how many clubs were listed in the domestic competitions of {transfers.player_name}'s club?",3,"transfers; clubs; competitions","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.domestic_competitions_id; competitions.competitions_id"
56,"On {target_date}, was {transfers.player_name}'s club country the same as their citizenship country?",3,"transfers; clubs; players","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; players.player_id; players.country_of_citizenship"
57,"On {target_date}, was {transfers.player_name}'s club country the same as their birth country?",3,"transfers; clubs; players","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; players.player_id; players.country_of_birth"
58,"On {target_date}, was {transfers.player_name}'s club country on the same continent as their citizenship country?",4,"transfers; clubs; players; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; players.player_id; players.country_of_citizenship; countries.country_name; countries.continent"
59,"On {target_date}, was {transfers.player_name}'s club country on the same continent as their birth country?",4,"transfers; clubs; players; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; players.player_id; players.country_of_birth; countries.country_name; countries.continent"
60,"On {target_date}, did {transfers.player_name}'s club country and citizenship country have the same listed confederation?",4,"transfers; clubs; players; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; players.player_id; players.country_of_citizenship; countries.country_name; countries.confederation"
61,"On {target_date}, did {transfers.player_name}'s club country and birth country have the same listed confederation?",4,"transfers; clubs; players; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; players.player_id; players.country_of_birth; countries.country_name; countries.confederation"
62,"On {target_date}, was the capital of {transfers.player_name}'s club country the same as the capital of their citizenship country?",4,"transfers; clubs; players; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; players.player_id; players.country_of_citizenship; countries.country_name; countries.capital_city"
63,"On {target_date}, was the capital of {transfers.player_name}'s club country the same as the capital of their birth country?",4,"transfers; clubs; players; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; players.player_id; players.country_of_birth; countries.country_name; countries.capital_city"
64,"After {transfers.player_name}'s transfer on {transfers.transfer_date}, was their destination club in the same country as their previous club?",2,"transfers; clubs","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name"
65,"After {transfers.player_name}'s transfer on {transfers.transfer_date}, was their destination club on the same continent as their previous club?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
66,"After {transfers.player_name}'s transfer on {transfers.transfer_date}, did their destination club country and previous club country have the same listed confederation?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.confederation"
67,"After {transfers.player_name}'s transfer on {transfers.transfer_date}, was the capital of their destination club's country the same as the capital of their previous club's country?",3,"transfers; clubs; countries","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.capital_city"
68,"How old was {transfers.player_name} on their first recorded transfer date?",2,"transfers; players","transfers.player_name; transfers.player_id; transfers.transfer_date; players.player_id; players.date_of_birth"
69,"How old was {transfers.player_name} on their latest recorded transfer date?",2,"transfers; players","transfers.player_name; transfers.player_id; transfers.transfer_date; players.player_id; players.date_of_birth"
70,"How old was {transfers.player_name} on their first appearance after joining {transfers.to_club_name} on {transfers.transfer_date}?",3,"transfers; appearance; players","transfers.player_name; transfers.player_id; transfers.to_club_name; transfers.to_club_id; transfers.transfer_date; appearance.player_id; appearance.player_club_id; appearance.date; players.player_id; players.date_of_birth"
71,"How old was {transfers.player_name} on their last appearance before leaving {transfers.from_club_name} on {transfers.transfer_date}?",3,"transfers; appearance; players","transfers.player_name; transfers.player_id; transfers.from_club_name; transfers.from_club_id; transfers.transfer_date; appearance.player_id; appearance.player_club_id; appearance.date; players.player_id; players.date_of_birth"
72,"After {transfers.player_name} joined {transfers.to_club_name} on {transfers.transfer_date} and before their next transfer, how many appearances did they make in competitions linked to {countries.country_name}?",4,"transfers; appearance; competitions; countries","transfers.player_name; transfers.player_id; transfers.to_club_name; transfers.to_club_id; transfers.transfer_date; appearance.player_id; appearance.player_club_id; appearance.date; appearance.competitions_id; competitions.competitions_id; competitions.country_name; countries.country_name"
73,"After {transfers.player_name} joined {transfers.to_club_name} on {transfers.transfer_date} and before their next transfer, how many appearances did they make in competitions listed with confederation {countries.confederation}?",4,"transfers; appearance; competitions; countries","transfers.player_name; transfers.player_id; transfers.to_club_name; transfers.to_club_id; transfers.transfer_date; appearance.player_id; appearance.player_club_id; appearance.date; appearance.competitions_id; competitions.competitions_id; competitions.confederation; countries.confederation"
74,"After {transfers.player_name} joined {transfers.to_club_name} on {transfers.transfer_date} and before their next transfer, which competitions type did they appear in most often? If tied, list all tied types.",3,"transfers; appearance; competitions","transfers.player_name; transfers.player_id; transfers.to_club_name; transfers.to_club_id; transfers.transfer_date; appearance.player_id; appearance.player_club_id; appearance.date; appearance.competitions_id; competitions.competitions_id; competitions.type"
75,"After {transfers.player_name} joined {transfers.to_club_name} on {transfers.transfer_date} and before their next transfer, which competitions subtype did they appear in most often? If tied, list all tied subtypes.",3,"transfers; appearance; competitions","transfers.player_name; transfers.player_id; transfers.to_club_name; transfers.to_club_id; transfers.transfer_date; appearance.player_id; appearance.player_club_id; appearance.date; appearance.competitions_id; competitions.competitions_id; competitions.sub_type"
76,"Which players were at {transfers.to_club_name} at the same time as {transfers.player_name}, after {transfers.player_name} joined on {transfers.transfer_date}?",1,"transfers","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; transfers.to_club_name"
77,"How many players were at {transfers.to_club_name} at the same time as {transfers.player_name}, after {transfers.player_name} joined on {transfers.transfer_date}?",1,"transfers","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; transfers.to_club_name"
78,"Was {other_player_name} at {transfers.to_club_name} at the same time as {transfers.player_name}, after {transfers.player_name} joined on {transfers.transfer_date}?",1,"transfers","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; transfers.to_club_name"
79,"Did {transfers.player_name} and {player_name_2} have overlapping time at {transfers.to_club_name}?",1,"transfers","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; transfers.to_club_name"
80,"What date range did {transfers.player_name} and {player_name_2} overlap at {transfers.to_club_name}?",1,"transfers","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; transfers.to_club_name"
81,"Did {transfers.player_name} leave {transfers.to_club_name} before {player_name_2} arrived there?",1,"transfers","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; transfers.to_club_name"
82,"Was {player_name_2} already at {transfers.to_club_name} when {transfers.player_name} joined on {transfers.transfer_date}?",1,"transfers","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; transfers.to_club_name"
83,"Which players were already at {transfers.to_club_name} when {transfers.player_name} joined on {transfers.transfer_date}?",1,"transfers","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; transfers.to_club_name"
84,"Which players joined {transfers.to_club_name} after {transfers.player_name} joined, but before {transfers.player_name}'s next transfer?",1,"transfers","transfers.player_name; transfers.player_id; transfers.transfer_date; transfers.to_club_id; transfers.to_club_name"
